Company,Modified DEI initatives,Made in El Salvador,Donated to Trump Campaign,Donated to Trump Inauguration,Donated to Biden Inauguration 2020,Notes
Fatburger,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Fazoli's,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Great American Cookies,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Hot Dog on a Stick,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Hurricane Grill & Wings,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Johnny Rockets,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Marble Slab Creamery,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Native Grill & Wings,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Ponderosa and Bonanza Steakhouses,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Pretzelmaker,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Round Table Pizza,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Smokey Bones,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Twin Peaks,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Yalla Mediterranean,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Instacart,FALSE,FALSE,FALSE,TRUE,FALSE,
Medford Shoprite,FALSE,FALSE,FALSE,TRUE,FALSE,
National Retail Federation,FALSE,FALSE,FALSE,TRUE,FALSE,
Schumacher Auto Group,FALSE,FALSE,FALSE,TRUE,FALSE,
United Airlines,FALSE,FALSE,FALSE,TRUE,TRUE,
Blackstone,FALSE,FALSE,FALSE,TRUE,FALSE,
Capital One,FALSE,FALSE,FALSE,TRUE,FALSE,
Mastercard,FALSE,FALSE,FALSE,TRUE,FALSE,
Abbott Laboratories,FALSE,FALSE,FALSE,TRUE,TRUE,
Blue Cross Blue Shield,FALSE,FALSE,FALSE,TRUE,FALSE,
Centene Management,FALSE,FALSE,FALSE,TRUE,TRUE,
Eli Lily,FALSE,FALSE,FALSE,TRUE,FALSE,
Gilead Sciences,FALSE,FALSE,FALSE,TRUE,FALSE,
HCA Healthcare,FALSE,FALSE,FALSE,TRUE,FALSE,
Molina Healthcare,FALSE,FALSE,FALSE,TRUE,FALSE,
Vaxcyte,FALSE,FALSE,FALSE,TRUE,FALSE,
Pharmaceutical Care Management Association,FALSE,FALSE,FALSE,TRUE,FALSE,
KFC,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Yum! Brands a subsidiary of PepsiCo
